Time,Temperature,AlfaAmilase,AlfaAmilase_Grain,BetaAmilase,BetaAmilase_grain,Starch,Dextrins,Glucose,Maltose,Maltotriose,Limit_Dextrins,SolidosFermentaveis,SolidosNaoFermentaveis,SolidosTotais,PercFermentaveis,Extrato,MashingEfficiency,Dp1,Dp2,Dp3,Dp4Plus
1.041041041,64,7887.276393,340846.6263,17605.62022,1074100.192,109.8279043,11.68532975,6.09455654,13.76161039,0.332344892,6.691769313,20.18851183,18.37709906,148.3935151,13.60471299,3.856561088,25.98874408,4.107023501,9.273727616,0.223961871,12.3840311
1.121121121,64,8436.39667,336922.4881,18741.37784,1064387.405,109.4809564,10.70255414,6.201129812,14.25540352,0.383093787,7.408836387,20.83962712,18.11139052,148.431974,14.03985041,3.895101764,26.24166248,4.177758769,9.603997799,0.258093844,12.20181207
1.201201201,64,8977.837742,333051.0682,19848.73529,1054774.276,109.1120398,9.743828451,6.304457252,14.76986507,0.437056096,8.104064224,21.51137841,17.84789267,148.4713109,14.48857579,3.935927109,26.50968112,4.246246101,9.947958952,0.294370739,12.02110533
1.281281281,64,9511.703417,329231.655,20928.21843,1045259.629,108.7217057,8.819047744,6.403571628,15.30183889,0.494151202,8.770944903,22.19956172,17.58999265,148.5112601,14.94806637,3.978955437,26.79228117,4.311842498,10.30348735,0.332736522,11.8442148
1.361361361,64,10038.0961,325463.5462,21980.34425,1035842.305,108.310509,7.936819388,6.497703698,15.84793042,0.55429794,9.404302662,22.89993206,17.34112205,148.5515631,15.41547701,4.024105411,27.08894695,4.374039266,10.6683027,0.373135044,11.67346993
1.441441441,64,10557.11681,321746.0491,23005.62099,1026521.159,107.8790075,7.104442612,6.586283469,16.40451873,0.617414697,10.00030235,23.60821689,17.10474497,148.5919693,15.8879494,4.071296186,27.39916702,4.432462601,11.03997666,0.415510138,11.51121763
1.521521522,64,11068.8652,318078.4804,24004.54833,1017295.061,107.4277616,6.327902913,6.668936666,16.96779153,0.683419519,10.55642572,24.32014772,16.88432863,148.6322379,16.36263307,4.120447635,27.72243554,4.486870924,11.41595644,0.459805711,11.35980247
1.601601602,64,11573.4396,314460.166,24977.61748,1008162.897,106.9573332,5.611870593,6.745476821,17.53381104,0.752230207,11.07141812,25.03151807,16.68328871,148.6721399,16.83672414,4.171480678,28.05825409,4.537149209,11.79360911,0.505965817,11.22152995
1.681681682,64,12070.93697,310890.4408,25925.31135,999123.568,106.4682853,4.959693026,6.815893234,18.09861965,0.823764416,11.54520756,25.7382773,16.50490059,148.7114631,17.30752745,4.224317788,28.40613426,4.5833005,12.17029223,0.553934712,11.09860682
1.761761762,64,12561.45299,307368.6488,26848.10465,990175.9883,105.9611812,4.373375456,6.880334996,18.65838942,0.897939742,11.97879719,26.43666415,16.35217265,148.750018,17.77254518,4.27888368,28.76560109,4.625434731,12.54345355,0.603656896,10.99305591
1.841841842,64,13045.08206,303894.1428,27746.46409,981319.0872,105.4365841,3.853551791,6.939091094,19.20961367,0.974673816,12.37413144,27.12337858,16.22768323,148.7876459,18.22959051,4.335106181,29.13619712,4.663754878,12.91075852,0.655077113,10.90660661
1.921921922,64,13521.91726,300466.2843,28620.84843,972551.8079,104.8950563,3.399461074,6.992566749,19.7493229,1.053884386,12.73393677,27.79577404,16.13339784,148.8242282,18.67691462,4.392917188,29.51748678,4.698540576,13.27023371,0.708140334,10.84057215
2.002002002,64,13992.05046,297084.4437,29471.70867,963873.1075,104.3371587,3.00895099,7.041256501,20.27529827,1.135489404,13.06154066,28.45204417,16.07049165,148.8596945,19.11332968,4.452253582,29.90906031,4.730129618,13.62040835,0.762791706,10.79573064
2.082082082,64,14455.57227,293747.9994,30299.48813,955281.9571,103.7634504,2.678544492,7.085714951,20.78623738,1.219407098,13.36067467,29.09135943,16.03921916,148.894029,19.53829823,4.51305786,30.31053623,4.758897989,13.96042375,0.818976494,10.772238
2.162162162,64,14912.57206,290456.3387,31104.62263,946777.3409,103.1744879,2.403593183,7.126526525,21.28183633,1.305556054,13.63527107,29.71391891,16.03886425,148.927271,19.95196628,4.575278315,30.72156149,4.78523945,14.29008682,0.876640017,10.76959521
